Date,Profile,Message,Number of Reactions,Number of Shares,Number of Comments (primary),Number of Shares.1,Comments per post,Comments on posts by fans,Post interaction rate,Engagement,Number of Likes,Link-posts,Picture Posts,Video-posts,Profile-ID,Post-ID,Link
12/27/23 6:03 PM,SeaWorld San Diego,"The holidays can be a bit of a wild ride, and we know a thing or two about rides! We find that Arctic Rescue is exactly the pick-me-up needed to get you through till New Years!​

​Still debating how to spend your New Year's Eve? Join us for family-friendly fun and a countdown to fireworks at 9PM! Plus spots are still available to upgrade to our New Year's Eve Family Bash 🥂 Book at https://bit.ly/3RXwJqY",57.0,,1.0,6.0,1.0,1.0,"5,70E+11","5,70E+11",42.0,,,1.0,"4,26112E+14",426111667814056_687663476844947,https://www.facebook.com/579518520992777/posts/687663476844947
3/17/23 4:41 PM,SeaWorld Orlando,"We're seeing green this weekend!
🍀 Enjoy our St. Patrick's Day Celebrations
🐢 Come and learn about Sea Turtles
💚 Ride front row on Kraken
What are you looking forward to 'sea-ing' at SeaWorld this weekend?",163.0,,7.0,7.0,7.0,7.0,"7,80E+11","7,80E+11",138.0,,1.0,,"1,7827E+15",1782696285170057_6087549734684669,https://www.facebook.com/1782696285170057/posts/6087549734684669/
8/23/23 11:31 PM,Elitch Gardens,"Who’s ready for the ultimate BOYBAND experience? 🎶 Join us for Larger Than Life this Saturday, August 26!

The band performs your favorite songs by the Backstreet Boys, NSYNC, New Kids On The Block, 98 Degrees, O-Town, Boyz II Men, LFO, One Direction and more! 🎤

We’re giving away FREE Photo-Op Passes for the show! To enter, you just have to like this post ❤️ and tag the friend you’ll bring with you! 🎉

One winner will be randomly chosen on Friday, August 25, at 12pm MST. The winner will receive two (2) Photo-Op Passes! These passes do NOT include park admission.

Good luck! 
www.ElitchGardens.com/ContestRules",35.0,,17.0,4.0,23.0,23.0,"4,19E+12","4,19E+12",26.0,,,1.0,62242807350,62242807350_675366101296351,https://www.facebook.com/547583224074640/posts/675366101296351
02/10/2023 02:08,Knott's Berry Farm,"We're Hiring! 📣 Join us at our Hiring Week event from February 18 - 24! Interviews will take place between 9:30 a.m. and 4:00 p.m. Monday through Friday and between 9:00 a.m. and 3:00 p.m. on Saturday. Interested candidates will have the ability to apply, interview, and get hired the same day! -  https://bit.ly/3YiJvkI",215.0,,11.0,91.0,30.0,30.0,"5,30E+10","5,30E+10",206.0,,1.0,,10286130875,10286130875_10158881932290876,https://www.facebook.com/KnottsBerryFarm/photos/a.104124665875/10158881932290876/?type=3
9/15/23 8:57 PM,Six Flags Great Adventure,"Are you brave enough? Join us tonight for #FrightFest!! Don't show your fear, you might make a friend!",63.0,,5.0,3.0,13.0,13.0,"7,02E+10","7,02E+10",52.0,,1.0,,69421318512,69421318512_687465280082809,https://www.facebook.com/630574765771861/posts/687465280082809
11/24/23 6:00 AM,Silverwood Theme Park,Our Black Friday Giveaway starts at midnight! Don't miss out on your chance to win 2 tickets to Silverwood in 2024! 10 lucky winners will be chosen on Saturday (11/25) Check back for more information on how to enter.,216.0,,61.0,22.0,66.0,66.0,"7,94E+11","7,94E+11",189.0,,1.0,,"7,62702E+14",762701550509617_658249099837820,https://www.facebook.com/562559642740100/posts/658249099837820
08/09/2023 22:18,Cedar Point,"Looking for a FUN job this FALL? 🎃 Help run some of the greatest rides on the planet as a Ride Operator, starting at $20 an hour. 

Join us for a Fall Hiring Event:

📅 August 23
📍 Cedar Point Recruiting Center (2210 1st St.)
⏰ 5 – 7 PM
🎃 APPLY TODAY: https://bit.ly/3qqKoMf",229.0,,20.0,120.0,31.0,31.0,"2,42E+11","2,42E+11",196.0,,1.0,,10625691462,10625691462_676472787845313,https://www.facebook.com/635989478560311/posts/676472787845313
10/31/23 6:00 PM,Walt Disney Animation Studios,"If you think you know the story, think again! ⭐️ Disney's #Wish is in theaters November 22. Get tickets now!",806.0,,19.0,57.0,26.0,26.0,"6,96E+10","6,96E+10",608.0,,,1.0,23245476854,23245476854_902125467950977,https://www.facebook.com/825349885628536/posts/902125467950977
11/18/23 6:00 PM,SeaWorld San Diego,"Our BRAND NEW Christmas Celebration sampler lanyard is a great way to save on all our tasty bites and delights, plus it's the only way to get this exclusive 2023 light up souvenir cup!​

​Pass Members: We have an extra special sampler option that's just for you! Not a Pass Member yet? Shop now at https://bit.ly/3SLSU4n",93.0,,4.0,6.0,6.0,6.0,"9,38E+09","9,38E+09",74.0,,1.0,,"4,26112E+14",426111667814056_666360742308554,https://www.facebook.com/579518520992777/posts/666360742308554
05/12/2023 09:21,Enchanted Island Amusement Park,$5 OFF Friday Wristbands Special,4.0,,0.0,0.0,0.0,0.0,"2,85E+12","2,85E+12",4.0,,,,"1,20659E+14",120659204674179_567841642098055,https://www.facebook.com/509186587963561/posts/567841642098055
