Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares.1;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link;total_score;text_length;hashtag_count;readability_score;emoji_count;Estimated Followers
12/31/23 9:40 PM;Wild Adventures Theme Park;🎟️🚨 Today's the FINAL day to use your 2023 Season Passes! Don't miss out on a day packed with festive cheer, animal adventures, thrilling rides, and a lakeside Fireworks Spectacular starting at 8PM! 🎄🎢✨ And remember, after today, 2024 Season Pass prices go up too! Lock in the best deal now for next year's fun! 🌟🎁 https://bit.ly/3WlSO2S;16;0;2;2;2;2;0;109;13;0;1;0;84679583132;84679583132_770120045161180;https://www.facebook.com/617429960430190/posts/770120045161180;37;337;57;74,69;7;18.349
12/31/23 8:01 PM;Fun Spot America;See you next year! 😉                Don’t miss our HUGE firework display tonight at midnight 🎆🎇#fireworks #NYE #NewYear2024 #bye2023 #HUGEFun;38;0;1;2;1;1;0;41,7;33;0;0;0;1,84E+11;184020466977_767286052104076;https://www.facebook.com/653224623510220/posts/767286052104076;76;141;19;87,72;3;98.321
12/31/23 7:00 PM;Disneyland Paris;"Fijne jaarwisseling! 🥂🎉
En tot volgend jaar 😉";646;0;52;12;56;56;0;13,6;478;0;1;0;6,52E+14;652389081615295_775974521237956;https://www.facebook.com/724434559725286/posts/775974521237956;1300;45;8;48,47;3;5.220.588
12/31/23 7:00 PM;Silverwood Theme Park;It's the last day of our New Year's Sale! Save up to $25 on 1-day and 2-day tickets and make new memories in the brand new Emerald Forest expansion of Boulder Beach Water Park! New adventures await in 2024! https://sw4.fun/2024;17;0;2;0;2;2;0;49,6;16;0;0;1;7,63E+14;762701550509617_678920137770716;https://www.facebook.com/562559642740100/posts/678920137770716;39;227;40;83,36;0;381.306
12/31/23 6:55 PM;Belmont Park;"The sun sets over 2023…🌅

Wishing everyone a happy, safe and healthy 2024 from Belmont Park! 🎉 There’s still time to squeeze in some family fun at your favorite beachside amusement park…

Ring in 2024 with your FAVORITE Rides & Attractions! We’ll be OPEN New Year’s Eve from 11-9 pm and OPEN from 11-10 pm on New Year’s Day! 🥳

See you soon 🎢";51;0;1;11;1;1;0,001245773;1,24577E-13;40;0;1;0;83231004302;83231004302_767257582104974;https://www.facebook.com/632506952246705/posts/767257582104974;105,0012458;342;64;90,09;4;50.571
12/31/23 6:01 PM;SeaWorld Orlando;Animal rescue and rehabilitation has always been an integral part of what SeaWorld is. In 2023, our incredible SeaWorld Rescue team has rescued over 80 animals. We have returned 70% back to their natural habitat and working diligently to reach 100%. To date we have rescued over 40,000 animals and are one of the world's largest marine animal rescue organizations. Our teams are on call 24/7/365, partnering with multiple government agencies to rescue and help animals in need of our care! We want to thank our incredible teams for making this possible in 2023. Looking forward to another amazing year!;729;0;25;97;28;28;0,003571862;3,57186E-13;459;0;1;0;1,7827E+15;1782696285170057_377301148304978;https://www.facebook.com/260024933365934/posts/377301148304978;1366,003572;602;100;56,96;0;267.000
12/31/23 5:30 PM;Canada's Wonderland;As this roller coaster of a year comes to a thrilling close, let's loop through the high moments we’ll not soon forget! 🎢🎉Cheers to a New Year we hope will be filled with more smiles, laughs and memory-making! 🥂🌟;102;0;9;14;13;13;0;151;88;0;0;1;95469803923;95469803923_775191387982844;https://www.facebook.com/633676285467689/posts/775191387982844;239;212;39;86,03;4;837.000
12/31/23 5:01 PM;SeaWorld San Diego;"As we close out 2023, we want to take a moment to thank the many ambassadors who make up our team here at SeaWorld. ​

​Between last summer's grand opening of Arctic Rescue, an all-new lineup of summer entertainment, the opening of Rescue Jr. and the hatching of our first emperor penguin chick in over a decade, it has been a busy year for all of us! It is because of our team that we can give exceptional care to our animals and deliver one-of-a-kind experiences for our guests all year long. Thank you for an incredible year!";242;0;5;15;5;5;0,002332185;2,33219E-13;182;0;0;1;4,26E+14;426111667814056_689815569963071;https://www.facebook.com/579518520992777/posts/689815569963071;454,0023322;528;98;68,7;0;127.000
12/31/23 5:00 PM;Lake Compounce;"Who’s ready to party tonight? 🪩

Join Kyle the Crocodile and his friends at our Kids New Year’s Eve Bash from 6-8pm! 🥳

🎆 Final Fireworks Show of the Season at 7:30pm
🫧 Bubble Dance Party
🕺 Live DJ
🧃Juicebox Toast & Countdown
✨ and so much more! 

Learn More: https://www.lakecompounce.com/discover-the-park/holiday-lights/shows-rides-more";60;0;3;5;3;3;0;414;46;0;1;0;80018245271;80018245271_791501566346367;https://www.facebook.com/548816340614892/posts/791501566346367;120;339;51;68,77;7;16.425
12/31/23 4:30 PM;Happy Hollow Park & Zoo;Today is the day! Join in and countdown to noon at Happy Hollow's Noon Year's Eve event! 🎊 There will be magic shows, animal encounters, a scavenger hunt and a confetti-filled celebration for the new year 🎉 Don't miss out on all the fun 🐲 More info at happyhollow.org/noon-years-eve;9;0;0;0;0;0;0;228;9;0;1;0;1,33E+11;132942835175_754037053419799;https://www.facebook.com/328743942615781/posts/754037053419799;18;282;49;64,41;3;150.000
